Termen A,Termen B,Co-ocurențe,Cartonașe,Asociere
salarii,nivel european / minim european / nivelarea,5,C1G–C2G,salarii + nivel european / minim european / nivelarea
locuințe,sociale / chirie / preț / inaccesibilitate,6,C1G–C4G,locuințe + sociale / chirie / preț / inaccesibilitate
război,ajutată / urgență / pandemie / criză,8,C5G,război + ajutată / urgență / pandemie / criză
limbaj,lemn / clișeic / vagi / autoritate,4,C10C,limbaj + lemn / clișeic / vagi / autoritate
site-uri,oficiale / dovezi / surse / clickbait,5,C7C,site-uri + oficiale / dovezi / surse / clickbait
tineri,viitorul / vocea / implicare / opinii,6,C4G–C8C–C10C,tineri + viitorul / vocea / implicare / opinii
