Cluster,Cartonașe,Răspunsuri,Pozitiv mediu,Critic mediu,Descriere,Tangibilitate,Aderență,Pondere (%)
Cetățenie socială & viitor material,"C1G, C4G",22,71.5,9.0,"viitor, salarii, locuințe, educație, muncă",8.0,7.6,20.952380952380953
România în Europa,C3G,16,50.0,31.0,"politizare națională, suveranism minoritar, critică internă",7.2,4.8,15.238095238095239
Solidaritate în criză,C5G,13,100.0,0.0,"război, pandemie, calamitate, unitate",7.0,9.4,12.380952380952381
"Comunicare, media trust & limbaj generațional","C7C, C10C",21,66.5,14.5,"surse, clickbait, limbaj de lemn, claritate digitală",6.4,6.5,20.0
Europa-imaginar & storytelling civic,"C6C, C8C, C9C",25,87.0,3.0,"poveste, simboluri, sloganuri, rețele, metafore",8.4,8.2,23.809523809523807
Trade-off normativ european,C2G,8,88.0,0.0,"reguli acceptate pentru binele comun, DSA-like reasoning",6.8,8.5,7.6190476190476195
